,Rank,Country,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index,Period
279,36,Argentina,138.48,74.92,36.72,73.73,64.09,12.22,42.36,58.46,91.70,2016
280,37,Serbia,138.26,49.62,56.72,55.88,33.56,16.59,28.37,55.14,83.89,2016
281,38,Turkey,137.31,64.12,60.57,73.03,45.07,8.07,48.05,65.75,74.22,2016
282,39,Mexico,137.01,76.51,49.20,68.13,35.01,6.21,37.06,64.64,58.78,2016
283,40,Lithuania,134.33,61.25,56.85,67.38,45.56,12.90,30.24,30.94,24.42,2016
284,41,Colombia,128.46,45.99,51.49,73.22,29.25,16.29,44.24,64.44,84.51,2016
285,42,Macedonia,115.03,46.74,61.98,59.99,31.05,15.52,40.68,85.29,80.55,2016
286,43,India,109.28,89.65,53.41,66.47,24.14,10.54,45.98,77.02,19.66,2016
287,44,Hong Kong,108.33,102.32,79.15,74.30,81.48,37.57,46.40,67.17,39.90,2016
288,45,Brazil,101.02,48.69,28.77,51.09,38.88,17.95,46.12,61.18,72.60,2016
289,46,China,99.03,77.42,67.92,61.20,48.10,24.98,44.09,85.54,46.59,2016
290,47,Iran,96.93,47.73,47.63,49.83,41.12,14.78,48.15,84.21,74.61,2016
291,48,Pakistan,93.99,43.34,43.37,61.27,26.69,15.27,36.85,76.64,41.17,2016
292,49,Singapore,93.09,110.50,84.19,69.06,83.67,23.17,43.43,38.83,-66.63,2016
293,50,Egypt,88.79,40.30,43.47,46.58,36.71,10.76,50.85,96.05,79.72,2016
294,51,Russia,88.31,57.42,52.69,54.15,38.48,12.84,49.13,64.49,10.87,2016
295,52,Ukraine,85.56,29.66,51.38,49.69,28.56,26.16,39.95,67.84,50.40,2016
296,53,Indonesia,72.19,35.51,53.03,62.56,36.33,19.48,41.40,75.14,7.98,2016
297,54,Philippines,65.83,42.86,62.39,72.25,34.73,19.24,45.97,73.12,-26.98,2016
298,55,Thailand,63.83,40.06,57.44,80.80,40.02,24.38,43.09,71.51,-23.25,2016
299,56,Malaysia,63.80,96.34,31.45,66.45,37.47,9.07,39.77,67.53,-71.17,2016
300,1,Switzerland,285.77,210.00,73.77,66.48,124.51,8.06,24.86,24.34,-,2015-mid
301,2,Denmark,254.74,164.26,74.97,82.44,88.31,5.18,25.61,31.15,-,2015-mid
302,3,Germany,244.31,160.12,69.36,76.37,65.96,7.07,28.92,29.22,-,2015-mid
303,4,Finland,242.66,149.42,73.43,75.19,76.89,6.78,36.14,17.44,-,2015-mid
304,5,Sweden,237.19,156.16,57.05,75.17,73.86,8.40,28.25,18.63,-,2015-mid
305,6,Saudi Arabia,228.49,187.40,69.72,59.98,48.19,2.90,35.65,72.93,-,2015-mid
306,7,Australia,227.19,157.97,56.64,72.72,89.50,7.92,35.56,23.09,-,2015-mid
307,8,Norway,222.96,139.78,69.56,74.64,109.30,7.26,25.03,22.41,-,2015-mid
308,9,Netherlands,220.81,150.57,66.66,68.76,74.43,5.43,37.45,34.67,-,2015-mid
309,10,United States,220.38,156.46,50.21,67.13,73.38,3.39,34.98,33.34,-,2015-mid
310,11,Austria,214.62,135.34,73.72,76.49,68.14,9.36,28.90,32.45,-,2015-mid
311,12,Canada,214.24,143.94,61.27,68.87,73.53,5.78,39.12,29.26,-,2015-mid
312,13,New Zealand,203.79,118.84,62.02,73.56,79.84,6.83,27.81,19.79,-,2015-mid
313,14,South Korea,194.35,138.27,83.10,73.35,77.80,13.91,25.81,51.63,-,2015-mid
314,15,United Kingdom,193.42,133.64,57.08,73.68,86.68,8.25,34.44,33.81,-,2015-mid
315,16,Japan,191.43,135.77,79.16,80.14,74.29,17.72,46.98,34.99,-,2015-mid
316,17,United Arab Emirates,190.91,143.80,76.69,53.92,64.88,6.18,35.32,59.38,-,2015-mid
317,18,Ireland,188.99,137.60,51.36,49.75,79.71,8.13,31.82,28.88,-,2015-mid
318,19,France,183.46,132.55,52.40,80.99,75.85,9.11,30.51,45.24,-,2015-mid
319,20,Spain,178.77,114.82,67.61,74.21,56.55,8.52,28.72,46.15,-,2015-mid
320,21,Israel,169.39,133.59,67.93,76.25,77.57,9.57,37.63,64.81,-,2015-mid
321,22,Slovenia,168.22,94.62,72.99,53.34,55.60,10.26,22.60,29.87,-,2015-mid
322,23,Belgium,161.20,115.19,57.38,75.53,76.71,6.46,30.85,56.11,-,2015-mid
323,24,Czech Republic,161.12,98.81,67.75,67.73,42.69,9.87,32.87,42.66,-,2015-mid
324,25,Portugal,159.57,87.27,63.71,66.61,50.55,7.91,30.31,32.69,-,2015-mid
325,26,Singapore,152.09,117.65,82.92,66.60,88.12,23.87,45.41,37.97,-,2015-mid
326,27,South Africa,150.97,142.40,22.06,58.02,43.50,3.18,43.93,64.96,-,2015-mid
327,28,Poland,141.79,90.97,67.69,58.44,39.62,9.91,33.97,49.43,-,2015-mid
328,29,Italy,139.50,112.63,53.19,66.27,72.38,10.59,36.15,57.43,-,2015-mid
329,30,Croatia,138.83,71.44,70.96,59.21,49.82,11.56,32.18,31.26,-,2015-mid
330,31,Slovakia,136.72,77.09,67.23,56.76,45.13,8.78,26.06,44.54,-,2015-mid
331,32,Greece,130.32,83.15,60.56,55.96,58.92,8.26,30.60,47.62,-,2015-mid
332,33,Mexico,125.57,91.36,46.97,69.08,38.07,5.67,33.36,64.93,-,2015-mid
333,34,Lithuania,121.57,64.38,57.46,64.90,46.09,12.79,31.45,32.84,-,2015-mid
334,35,Chile,117.23,93.76,56.54,63.19,49.21,8.89,40.00,67.91,-,2015-mid
335,36,India,115.15,99.29,53.18,66.34,24.85,8.89,45.10,76.90,-,2015-mid
336,37,Hungary,113.65,66.35,56.70,50.02,41.75,7.98,30.42,45.70,-,2015-mid
337,38,Malaysia,112.21,103.75,30.66,66.78,41.72,8.76,39.38,67.37,-,2015-mid
338,39,Turkey,111.83,77.61,62.83,73.47,44.53,6.55,46.91,69.17,-,2015-mid
339,40,Romania,107.45,61.17,70.01,48.51,36.86,10.69,33.28,50.10,-,2015-mid
340,41,Hong Kong,104.85,111.81,78.14,75.52,75.03,31.49,45.67,67.49,-,2015-mid
341,42,Bosnia And Herzegovina,102.25,64.94,55.89,52.54,36.24,11.12,22.44,55.17,-,2015-mid
342,43,Bulgaria,93.68,58.73,57.97,55.32,36.13,8.55,31.81,60.95,-,2015-mid
343,44,Argentina,92.79,83.59,36.46,74.75,68.17,12.87,43.10,59.60,-,2015-mid
344,45,Serbia,80.54,55.93,54.76,54.32,35.42,15.56,25.75,57.53,-,2015-mid
345,46,Thailand,68.85,57.34,60.34,80.73,42.75,18.19,44.12,72.11,-,2015-mid
346,47,China,61.79,86.93,59.68,58.87,46.83,22.95,42.35,87.89,-,2015-mid
347,48,Philippines,60.06,50.32,63.11,73.77,36.05,18.65,46.09,71.92,-,2015-mid
348,49,Russia,59.76,62.05,50.66,53.74,44.27,14.76,46.82,70.37,-,2015-mid
349,50,Colombia,54.79,50.03,40.11,70.47,35.42,16.45,44.19,63.47,-,2015-mid
350,51,Brazil,43.75,56.18,29.77,50.62,46.71,16.80,45.54,59.36,-,2015-mid
351,52,Pakistan,37.81,46.39,40.92,56.78,27.77,15.49,33.53,79.35,-,2015-mid
352,53,Indonesia,31.78,37.47,53.90,63.70,35.88,20.28,40.58,74.93,-,2015-mid
353,54,Iran,25.39,48.78,48.83,48.02,43.06,17.10,45.52,83.46,-,2015-mid
354,55,Ukraine,12.39,32.72,50.40,46.22,30.75,24.58,41.23,70.31,-,2015-mid
355,56,Egypt,11.32,40.81,40.83,51.74,35.32,10.95,55.48,94.28,-,2015-mid
356,57,Venezuela,-40.72,21.48,14.81,36.62,82.81,20.04,39.42,80.27,-,2015-mid
357,1,Switzerland,222.94,146.51,73.23,66.31,126.03,7.28,25.63,24.07,-,2015
358,2,Germany,195.94,111.84,71.51,75.61,76.27,6.61,31.08,28.32,-,2015
359,3,Sweden,193.86,110.95,57.91,76.29,82.91,9.25,26.90,15.14,-,2015
360,4,United States,192.49,126.09,49.99,67.75,76.53,2.62,35.96,31.45,-,2015
361,5,Finland,190.25,101.17,70.45,69.37,89.68,7.01,33.17,14.91,-,2015
362,6,Denmark,190.18,105.70,74.29,79.28,100.60,5.02,27.85,31.79,-,2015
363,7,Austria,182.62,104.55,73.75,78.42,76.87,9.60,25.86,33.96,-,2015
364,8,Australia,180.81,110.39,57.84,71.85,99.32,7.13,36.25,21.63,-,2015
365,9,Canada,177.63,105.07,62.54,69.60,81.80,5.52,38.88,27.30,-,2015
366,10,New Zealand,175.51,90.99,60.24,72.61,93.71,5.78,28.10,17.61,-,2015
367,11,Norway,175.09,96.30,68.81,75.46,118.59,7.74,25.30,23.70,-,2015
368,12,Saudi Arabia,169.37,126.19,65.43,59.02,50.35,3.12,26.14,71.02,-,2015
369,13,Japan,168.28,98.21,79.76,87.07,80.36,9.24,51.05,38.22,-,2015
370,14,Netherlands,166.76,102.02,64.59,67.23,85.98,6.22,35.45,34.97,-,2015
371,15,Turkmenistan,157.09,59.75,82.14,77.22,38.12,12.96,11.75,28.45,-,2015
372,16,United Kingdom,156.90,98.12,57.99,73.88,92.19,8.63,34.00,33.95,-,2015
373,17,Cyprus,154.91,71.05,68.44,78.36,72.52,7.38,19.00,32.88,-,2015
374,18,United Arab Emirates,153.68,104.59,77.78,55.60,67.16,6.16,29.90,61.34,-,2015
375,19,Ireland,148.85,95.72,50.93,49.53,92.09,6.07,32.60,27.97,-,2015
376,20,Qatar,144.89,113.02,78.96,75.86,74.00,6.56,29.27,87.73,-,2015
377,21,Estonia,144.59,51.44,71.87,73.08,61.20,11.65,22.44,15.53,-,2015
378,22,France,139.31,92.62,50.29,82.58,88.37,9.70,28.60,45.94,-,2015
379,23,Belgium,135.95,86.16,57.96,77.86,87.22,6.49,26.69,53.84,-,2015
380,24,Spain,134.91,76.71,66.15,73.21,65.70,9.56,28.91,46.30,-,2015
381,25,Slovenia,134.49,64.16,71.29,53.93,65.15,10.61,18.82,31.45,-,2015
382,26,Portugal,129.16,58.22,64.16,65.62,58.22,8.32,28.20,32.61,-,2015
383,27,Czech Republic,127.53,68.07,67.11,67.24,48.50,10.59,31.47,42.87,-,2015
384,28,Puerto Rico,125.69,94.43,32.94,58.74,73.50,4.54,32.00,48.03,-,2015
385,29,Kuwait,123.39,85.70,56.49,66.57,92.97,6.12,25.00,59.63,-,2015
386,30,Israel,120.43,88.18,69.60,76.35,79.29,10.72,41.25,65.21,-,2015
387,31,South Korea,120.03,85.83,82.01,78.15,82.90,11.01,31.33,77.11,-,2015
388,32,Lithuania,112.85,46.86,63.31,70.11,52.76,12.87,31.33,29.60,-,2015
389,33,Croatia,112.34,50.47,70.66,57.26,58.92,12.48,30.50,32.76,-,2015
390,34,Singapore,111.29,75.40,82.41,66.14,93.61,21.41,44.07,40.40,-,2015
391,35,South Africa,110.92,101.78,21.56,60.09,45.58,3.14,42.98,65.19,-,2015
392,36,Poland,109.74,63.49,67.01,58.03,45.11,10.56,34.67,50.55,-,2015
393,37,Slovakia,109.09,56.05,66.66,57.34,51.60,8.58,30.40,47.94,-,2015
394,38,Italy,100.99,79.35,52.50,65.78,82.72,11.69,35.91,57.75,-,2015
395,39,Latvia,99.04,44.39,62.78,67.13,55.94,12.19,24.00,43.43,-,2015
396,40,Greece,94.66,51.89,58.65,56.73,68.88,9.67,33.18,44.87,-,2015
397,41,Hungary,93.07,46.85,58.24,51.58,48.90,8.58,30.12,46.25,-,2015
398,42,Uruguay,93.06,44.87,52.83,67.92,68.55,11.23,45.00,31.72,-,2015
399,43,Taiwan,92.50,69.90,78.12,84.29,57.06,24.97,28.25,67.65,-,2015
400,44,Panama,89.27,43.34,49.92,82.14,55.16,10.79,28.12,50.91,-,2015
401,45,Malaysia,85.32,73.54,30.03,69.14,45.97,8.35,39.40,64.73,-,2015
402,46,Mexico,84.97,59.51,46.16,67.79,41.26,6.26,36.89,68.83,-,2015
403,47,Bahrain,84.06,59.69,60.03,84.44,56.17,7.89,27.00,87.36,-,2015
404,48,Romania,83.63,40.62,70.28,46.57,42.39,11.81,30.69,50.55,-,2015
405,49,Hong Kong,82.96,74.93,80.76,80.60,75.23,30.09,46.25,59.50,-,2015
406,50,Turkey,82.55,53.63,63.60,74.00,49.55,6.70,46.32,74.31,-,2015
407,51,India,78.60,65.79,53.45,66.86,26.27,10.06,45.24,77.72,-,2015
408,52,Argentina,77.01,59.38,37.60,75.18,67.12,11.59,41.39,55.88,-,2015
409,53,Bosnia And Herzegovina,73.45,44.74,54.18,52.08,42.30,12.50,21.90,58.54,-,2015
410,54,Belarus,72.48,35.82,69.50,45.39,50.20,16.36,30.57,45.12,-,2015
411,55,Bulgaria,68.30,39.88,56.55,58.47,43.57,9.42,33.43,63.96,-,2015
412,56,Chile,65.48,55.11,54.99,58.55,53.21,10.84,40.83,72.40,-,2015
413,57,Georgia,64.96,26.21,77.99,62.59,39.56,15.17,38.00,58.79,-,2015
414,58,Serbia,60.34,39.15,56.57,54.12,43.29,17.07,27.79,56.60,-,2015
415,59,Sri Lanka,49.87,28.24,50.04,74.29,41.66,14.29,30.83,65.72,-,2015
416,60,Armenia,49.07,27.74,70.86,48.33,40.68,13.39,26.09,73.03,-,2015
417,61,Colombia,47.71,36.08,43.12,68.92,38.92,14.35,44.55,61.41,-,2015
418,62,Thailand,47.37,38.75,62.94,82.47,46.52,20.76,42.36,72.81,-,2015
419,63,Kazakhstan,47.00,43.48,53.32,58.86,54.27,12.73,41.80,73.69,-,2015
420,64,Ecuador,44.52,28.00,45.96,63.08,45.57,14.67,45.67,53.20,-,2015
421,65,Dominican Republic,43.60,28.20,32.28,78.70,55.95,11.45,27.50,65.32,-,2015
422,66,Moldova,42.13,23.70,50.30,52.69,34.72,17.07,24.60,57.24,-,2015
423,67,Jordan,38.61,38.67,54.49,69.71,61.38,8.58,51.40,85.64,-,2015
424,68,Philippines,36.95,35.41,56.89,71.66,40.00,18.52,45.50,74.17,-,2015
425,69,Lebanon,32.81,50.17,48.02,65.78,67.61,16.21,32.43,89.11,-,2015
426,70,Brazil,29.84,41.16,31.05,52.15,55.33,16.70,46.34,58.03,-,2015
427,71,Macedonia,28.85,35.48,63.94,35.12,37.41,15.38,33.17,82.31,-,2015
428,72,Russia,28.38,38.86,48.67,51.80,61.91,14.60,47.08,72.77,-,2015
429,73,Indonesia,22.70,26.01,52.78,66.09,39.35,18.93,41.63,74.41,-,2015
430,74,Pakistan,21.82,33.21,38.84,51.16,30.71,14.32,25.14,83.73,-,2015
431,75,Ukraine,20.10,27.87,50.64,44.27,41.29,17.38,40.04,69.85,-,2015
432,76,China,15.99,48.64,58.25,58.74,48.89,26.42,37.48,89.36,-,2015
433,77,Kenya,7.32,28.74,27.39,62.70,50.01,16.75,65.20,62.20,-,2015
434,78,Bolivia,6.55,41.10,34.40,49.75,40.02,10.33,55.00,94.05,-,2015
435,79,Nigeria,2.99,40.23,23.40,38.40,59.40,10.74,58.67,76.29,-,2015
436,80,Iran,1.07,30.65,49.10,50.12,44.53,20.78,47.44,82.28,-,2015
437,81,Cambodia,-4.40,11.93,55.94,54.17,57.05,21.11,33.33,80.06,-,2015
438,82,Bangladesh,-5.36,33.43,35.75,43.25,39.22,10.90,58.00,93.59,-,2015
439,83,Egypt,-7.07,25.84,39.86,54.69,37.22,11.33,56.85,96.62,-,2015
440,84,Vietnam,-19.52,21.32,47.71,34.26,41.86,23.92,36.40,84.34,-,2015
441,85,Mongolia,-35.74,23.50,29.75,28.29,52.28,18.63,36.86,94.55,-,2015
442,86,Venezuela,-53.04,11.90,15.93,38.52,111.01,22.23,30.60,79.19,-,2015
443,1,Switzerland,208.51,137.03,71.80,68.04,142.49,7.01,25.71,26.02,-,2014-mid
444,2,United States,187.79,125.63,49.84,68.15,76.97,2.41,36.20,35.97,-,2014-mid
445,3,Germany,186.61,105.80,70.87,76.66,86.82,6.13,31.44,30.33,-,2014-mid
446,4,Finland,182.64,96.56,70.78,69.00,101.95,7.17,31.50,16.04,-,2014-mid
447,5,Sweden,176.56,101.91,58.02,77.14,98.53,9.68,32.40,17.17,-,2014-mid
448,6,Canada,172.94,101.88,62.84,72.42,89.61,5.41,39.49,28.80,-,2014-mid
449,7,Australia,166.68,100.49,58.35,71.90,114.59,7.43,37.02,22.24,-,2014-mid
450,8,Denmark,165.60,91.59,72.85,82.58,115.09,5.94,28.82,37.61,-,2014-mid
451,9,New Zealand,164.24,84.16,57.62,73.56,106.70,5.80,25.47,19.24,-,2014-mid
452,10,United Arab Emirates,160.99,102.01,79.48,59.14,67.79,5.55,31.84,54.62,-,2014-mid
453,11,Austria,160.72,89.05,71.81,77.77,87.66,10.19,24.77,35.77,-,2014-mid
454,12,Norway,160.51,89.81,67.04,75.39,145.16,7.76,25.61,24.93,-,2014-mid
455,13,Japan,156.25,90.86,84.73,84.82,96.69,8.34,51.05,44.03,-,2014-mid
456,14,Qatar,150.92,118.87,77.22,75.00,72.38,6.00,30.70,86.54,-,2014-mid
457,15,Netherlands,149.90,91.81,63.57,66.66,98.70,6.54,35.50,37.33,-,2014-mid
458,16,United Kingdom,146.17,90.04,59.00,72.76,103.14,7.80,34.63,35.96,-,2014-mid
459,17,Cyprus,144.87,65.03,66.40,76.96,85.06,6.84,18.25,33.62,-,2014-mid
460,18,Ireland,140.13,89.55,48.26,46.73,105.62,6.10,26.61,27.36,-,2014-mid
461,19,Saudi Arabia,137.32,98.93,66.84,53.46,61.37,2.93,29.55,70.57,-,2014-mid
462,20,Estonia,137.26,47.78,70.91,71.73,67.61,10.70,24.71,17.27,-,2014-mid
463,21,Belgium,128.68,82.38,56.20,77.53,101.13,5.97,25.68,54.61,-,2014-mid
464,22,France,127.02,86.87,52.05,81.58,101.95,10.31,30.31,48.51,-,2014-mid
465,23,Portugal,122.57,51.81,65.41,66.04,67.78,8.70,28.97,30.87,-,2014-mid
466,24,Slovenia,121.30,57.81,68.77,55.88,74.96,11.19,22.00,32.66,-,2014-mid
467,25,Spain,121.24,71.23,65.94,74.23,75.68,10.38,30.89,50.22,-,2014-mid
468,26,Czech Republic,119.90,62.03,65.97,66.26,56.49,10.33,30.88,42.35,-,2014-mid
469,27,Lithuania,114.55,42.22,65.16,69.94,59.68,12.98,23.46,26.87,-,2014-mid
470,28,Kuwait,112.25,71.92,58.45,64.48,99.82,6.33,17.00,59.63,-,2014-mid
471,29,Puerto Rico,111.13,81.51,33.33,59.31,73.71,5.28,28.40,50.53,-,2014-mid
472,30,South Korea,110.44,78.08,79.68,82.14,91.41,12.33,31.33,74.85,-,2014-mid
473,31,South Africa,109.18,94.77,21.14,60.92,49.55,3.32,42.41,59.16,-,2014-mid
474,32,Croatia,105.50,45.99,70.58,57.66,68.66,13.31,32.89,30.46,-,2014-mid
475,33,Israel,104.75,76.71,68.68,77.35,91.55,11.57,41.42,64.99,-,2014-mid
476,34,Slovakia,103.92,50.41,66.43,58.84,61.02,9.49,37.50,40.81,-,2014-mid
477,35,Uruguay,100.17,39.10,56.18,67.92,72.63,10.84,45.00,21.33,-,2014-mid
478,36,Poland,97.91,56.42,65.82,54.26,53.36,11.05,34.35,50.05,-,2014-mid
479,37,Taiwan,94.01,65.72,78.56,82.32,59.37,24.14,25.14,64.07,-,2014-mid
480,38,Singapore,93.84,65.17,81.18,62.97,100.98,21.66,44.36,43.01,-,2014-mid
481,39,Panama,93.65,38.23,57.47,85.56,51.61,11.14,27.00,49.36,-,2014-mid
482,40,Italy,88.38,72.47,52.87,66.02,95.76,11.61,38.03,60.37,-,2014-mid
483,41,Hungary,85.23,41.86,59.65,49.74,56.91,9.59,30.09,45.63,-,2014-mid
484,42,Greece,83.03,44.56,58.99,57.84,80.79,10.87,33.21,45.18,-,2014-mid
485,43,Malaysia,78.94,67.54,31.40,68.86,49.99,8.27,41.09,64.49,-,2014-mid
486,44,Hong Kong,77.52,68.02,81.18,80.40,75.86,29.39,42.33,61.47,-,2014-mid
487,45,Mexico,76.62,52.55,47.20,69.79,47.77,6.53,38.86,69.19,-,2014-mid
488,46,Argentina,74.39,55.28,40.21,75.33,64.87,10.05,44.00,58.62,-,2014-mid
489,47,Belarus,72.85,32.75,71.01,48.02,50.34,16.65,24.83,46.37,-,2014-mid
490,48,India,72.60,59.26,54.74,63.97,27.72,10.39,46.67,75.04,-,2014-mid
491,49,Bosnia And Herzegovina,69.39,41.68,53.87,54.42,48.97,12.41,22.56,59.02,-,2014-mid
492,50,Romania,66.71,35.53,70.66,46.72,49.20,12.74,31.35,59.18,-,2014-mid
493,51,Serbia,66.56,36.59,58.44,54.68,50.74,16.41,24.57,50.95,-,2014-mid
494,52,Bulgaria,65.62,36.24,59.01,59.64,49.65,9.49,34.32,63.63,-,2014-mid
495,53,Georgia,65.02,23.99,80.61,76.85,42.96,15.60,38.00,64.05,-,2014-mid
496,54,Turkey,64.51,49.61,58.42,60.25,53.64,7.22,50.71,73.52,-,2014-mid
497,55,Chile,61.89,51.08,55.24,60.56,57.92,10.90,40.55,72.24,-,2014-mid
498,56,Thailand,46.94,33.33,62.99,84.97,45.94,21.84,33.00,71.76,-,2014-mid
499,57,Kazakhstan,43.51,36.57,54.21,58.56,55.01,12.40,36.50,73.95,-,2014-mid
500,58,Colombia,40.15,32.64,43.27,67.92,50.14,14.26,45.88,62.42,-,2014-mid
501,59,Jordan,38.31,35.76,52.55,74.10,61.79,8.33,48.50,85.65,-,2014-mid
502,60,Ecuador,37.46,25.83,41.74,63.14,45.56,13.89,45.67,56.53,-,2014-mid
503,61,Philippines,32.71,31.04,57.98,73.15,41.79,19.39,49.50,71.50,-,2014-mid
504,62,Brazil,29.72,38.37,30.35,51.15,66.24,16.59,44.84,53.13,-,2014-mid
505,63,Pakistan,23.52,30.53,39.40,52.23,31.47,13.76,25.55,81.08,-,2014-mid
506,64,Russia,23.02,36.08,47.71,52.71,61.75,14.65,50.19,73.46,-,2014-mid
507,65,China,21.18,40.17,72.70,61.49,52.64,28.09,32.62,86.24,-,2014-mid
508,66,Lebanon,20.88,40.14,54.84,61.30,69.03,18.11,32.43,89.79,-,2014-mid
509,67,Ukraine,20.07,27.14,49.84,46.89,44.33,16.72,39.09,71.03,-,2014-mid
510,68,Indonesia,17.97,23.06,51.60,64.45,40.41,20.24,40.03,72.45,-,2014-mid
511,69,Kenya,5.38,27.26,20.95,57.13,53.78,12.31,67.14,62.20,-,2014-mid
512,70,Cambodia,2.46,12.31,59.24,54.17,54.18,20.30,33.33,78.26,-,2014-mid
513,71,Egypt,0.93,24.68,45.10,58.29,36.22,10.80,60.67,92.55,-,2014-mid
514,72,Vietnam,-1.29,22.58,49.83,35.42,44.20,19.10,31.00,81.40,-,2014-mid
515,73,Bolivia,-1.48,33.05,31.72,45.68,42.33,11.42,63.00,83.34,-,2014-mid
516,74,Iran,-11.72,27.42,48.91,50.00,47.74,21.49,54.45,86.08,-,2014-mid
517,75,Mongolia,-39.97,21.71,29.75,27.23,53.86,18.83,36.86,95.75,-,2014-mid
518,76,Venezuela,-59.63,12.16,17.45,42.82,119.05,28.22,28.88,76.60,-,2014-mid
519,1,Switzerland,206.23,138.05,68.21,67.95,143.88,7.05,24.55,26.80,-,2014
520,2,United States,195.55,132.91,49.85,68.58,77.39,2.43,37.13,35.13,-,2014
521,3,Germany,192.69,112.28,72.86,75.26,87.14,5.60,36.07,30.20,-,2014
522,4,Sweden,180.92,106.11,61.72,75.22,103.68,9.41,34.07,17.51,-,2014
523,5,Finland,178.88,97.90,70.84,68.69,103.28,7.83,37.00,16.68,-,2014
524,6,Denmark,178.55,100.66,70.73,85.62,114.87,6.37,25.00,34.76,-,2014
525,7,Canada,178.29,105.53,63.71,71.94,87.90,5.57,39.17,27.70,-,2014
526,8,Australia,175.98,104.20,58.77,73.55,108.51,7.44,36.25,19.38,-,2014
527,9,United Arab Emirates,173.27,110.64,79.21,60.65,68.25,5.26,28.20,53.84,-,2014
528,10,Austria,171.82,91.53,74.17,79.67,89.50,9.17,24.50,31.68,-,2014
529,11,New Zealand,168.56,87.58,57.15,77.83,104.48,5.30,26.57,21.02,-,2014
530,12,Japan,168.47,99.64,81.90,85.03,94.13,8.34,47.64,40.78,-,2014
531,13,Norway,168.41,94.40,66.27,75.71,144.45,7.42,24.50,22.57,-,2014
532,14,Netherlands,160.98,97.54,62.93,66.17,98.82,6.08,35.06,32.40,-,2014
533,15,United Kingdom,150.97,94.34,57.38,73.52,100.11,7.74,37.68,33.81,-,2014
534,16,Estonia,145.40,48.67,70.93,76.34,67.33,10.19,24.71,13.43,-,2014
535,17,Ireland,142.35,94.64,46.41,42.57,106.61,5.74,22.53,29.32,-,2014
536,18,Kuwait,141.37,92.46,63.56,66.20,74.08,6.78,17.00,59.99,-,2014
537,19,Saudi Arabia,139.88,100.03,70.62,50.42,68.14,3.25,23.33,71.54,-,2014
538,20,France,136.31,92.29,52.72,82.28,100.21,10.32,28.10,46.92,-,2014
539,21,Belgium,134.71,87.93,58.47,78.04,100.04,5.98,25.96,56.16,-,2014
540,22,Slovenia,125.56,60.36,66.79,61.31,75.37,11.09,20.67,32.97,-,2014
541,23,Portugal,124.71,54.65,64.94,64.80,69.30,8.41,28.91,30.90,-,2014
542,24,Puerto Rico,123.64,85.28,40.70,59.93,76.50,5.10,28.40,47.41,-,2014
543,25,Spain,123.64,72.48,67.58,75.17,77.18,10.45,32.03,49.76,-,2014
544,26,Czech Republic,122.99,62.32,66.12,66.27,56.59,10.43,33.08,38.34,-,2014
545,27,Lithuania,121.91,43.24,65.29,69.26,59.96,12.91,22.00,21.13,-,2014
546,28,South Korea,117.90,80.63,83.65,79.17,87.56,11.35,31.20,74.24,-,2014
547,29,Taiwan,114.06,82.31,78.53,78.33,60.20,17.33,27.60,70.81,-,2014
548,30,South Africa,111.61,95.97,21.47,59.44,48.55,3.45,41.31,57.93,-,2014
549,31,Slovakia,108.74,52.41,67.28,63.52,61.50,9.51,37.50,40.81,-,2014
550,32,Croatia,108.70,48.32,71.10,55.94,69.04,13.37,33.35,28.69,-,2014
551,33,Poland,95.19,57.60,62.47,54.83,53.68,11.37,35.32,50.54,-,2014
552,34,Uruguay,91.94,39.64,53.36,59.58,77.36,11.60,45.00,21.33,-,2014
553,35,Israel,91.16,69.29,66.72,75.43,91.45,12.83,46.38,63.75,-,2014
554,36,Italy,90.61,75.39,54.41,65.05,96.81,12.15,38.05,60.42,-,2014
555,37,Malaysia,89.05,70.46,33.59,69.35,48.66,8.04,38.70,61.12,-,2014
556,38,Singapore,87.99,64.11,78.65,61.82,100.01,22.59,47.82,41.93,-,2014
557,39,Mexico,83.47,60.46,47.54,70.64,46.96,6.47,38.96,71.17,-,2014
558,40,Hungary,83.18,44.89,62.48,46.58,59.27,9.63,34.83,48.33,-,2014
559,41,Argentina,81.12,57.08,42.52,76.75,66.85,8.95,45.00,57.45,-,2014
560,42,India,78.01,62.33,56.30,64.62,26.70,10.16,47.72,74.34,-,2014
561,43,Greece,77.48,44.27,56.95,59.02,83.79,11.74,36.98,45.28,-,2014
562,44,Bosnia And Herzegovina,74.60,44.52,55.02,54.42,49.76,11.97,22.56,58.22,-,2014
563,45,Belarus,74.43,33.93,67.11,48.02,50.35,16.81,24.83,42.72,-,2014
564,46,Hong Kong,73.24,71.39,77.32,71.83,76.36,27.06,47.73,63.79,-,2014
565,47,Chile,69.32,58.27,52.91,58.68,60.16,9.45,42.10,70.98,-,2014
566,48,Serbia,69.31,37.39,60.72,54.35,51.57,16.86,24.38,49.56,-,2014
567,49,Turkey,67.82,55.79,60.05,57.54,49.93,6.86,51.93,77.11,-,2014
568,50,Romania,63.27,36.51,71.27,47.27,48.20,13.24,33.29,62.55,-,2014
