,id,LOCATION,TIME,GENDER,Population (% of total),EDU_TERTIARY_PC_WKGPOP,CPI_AGRWTH,GDP_USD_CAP,GOV_SPEND_EDU,%_Sanitation_Access,Access to Clean Fuels and Technologies for cooking (% of total population) [2.1_ACCESS.CFT.TOT],Access to electricity (% of rural population with access) [1.2_ACCESS.ELECTRICITY.RURAL],Access to electricity (% of total population) [1.1_ACCESS.ELECTRICITY.TOT],Access to electricity (% of urban population with access) [1.3_ACCESS.ELECTRICITY.URBAN],Energy intensity level of primary energy (MJ/2011 USD PPP) [6.1_PRIMARY.ENERGY.INTENSITY],Renewable electricity output (GWh) [4.1.2_REN.ELECTRICITY.OUTPUT],Renewable electricity share of total electricity output (%) [4.1_SHARE.RE.IN.ELECTRICITY],Renewable energy consumption (TJ) [3.1_RE.CONSUMPTION],Renewable energy share of TFEC (%) [2.1_SHARE.TOTAL.RE.IN.TFEC],Total electricity output (GWh) [4.1.1_TOTAL.ELECTRICITY.OUTPUT],Total final energy consumption (TFEC) (TJ) [1.1_TOTAL.FINAL.ENERGY.CONSUM],Population ages 00-04 (as % of specified gender population),Population ages 05-09 (as % of specified gender population),Population ages 10-14 (as % of specified gender population),Population ages 15-19 (as % of specified gender population),Population ages 20-24 (as % of specified gender population),Population ages 25-29 (as % of specified gender population),Population ages 30-34 (as % of specified gender population),Population ages 35-39 (as % of specified gender population),Population ages 40-44 (as % of specified gender population),Population ages 45-49 (as % of specified gender population),Population ages 50-54 (as % of specified gender population),Population ages 55-59 (as % of specified gender population),Population ages 60-64 (as % of specified gender population),Population ages 65-69 (as % of specified gender population),Population ages 70-74 (as % of specified gender population),Population ages 75-79 (as % of specified gender population),Population ages 80 and older (as % of specified gender population),TER_Enrolment_rate,"GNI per capita, Atlas method (current US$)",Quality_of_life_measure,HDI,LIFE_SAT,LIFE_SAT_NORM,LIFE_EXP,Numbeo_QoL,Numbeo_QoL_norm
10,11,AUS,1999,MEN,49.86515132,25.668303,1.4831290000000001,26777.75563,,100.0,,100.0,100.0,100,6.84048542,17398.0,8.54,225688.98899999997,8.507273372,203627.0,2652894.519,7.095165785,7.4217125479999995,7.249886676,7.04504149,6.9345129,7.724573853,7.520196423,8.10956884,7.506716549,7.0465935889999995,6.585598902,4.857963799,4.081212627,3.50915781,3.1677491669999998,2.235150239,1.909198802,60.77320099,21460,0.176440596,0.897,,,,,
11,12,AUS,1999,WOMEN,50.13484868,27.711052000000002,1.4831290000000001,26777.75563,,100.0,,100.0,100.0,100,6.84048542,17398.0,8.54,225688.98899999997,8.507273372,203627.0,2652894.519,6.597224719,6.867856721,6.794327714,6.693159242999999,6.749537827,7.665636936,7.488697848999999,7.966995901000001,7.525430632000001,7.015750053,6.310520802,4.665021128,3.9922634880000003,3.591766189,3.498485645,2.933515566,3.643809585,74.01502991,21460,0.23949103,0.897,,,,,
12,13,AUS,2000,MEN,49.88777575,26.104817999999998,4.457435,27888.22951,4.892650127,100.0,100.0,100.0,100.0,100,6.704753755,17590.0,8.38,229780.2488,8.423342447000001,209864.0,2727898.6960000005,6.973287668999999,7.425833397000001,7.25295891,7.056344802999999,6.707925385,7.622184665,7.377124068,8.099700101,7.563108965,7.000149818,6.778976032,5.040022499,4.164758017,3.496295284,3.177282297,2.335366831,1.9286812580000001,60.347980500000006,21130,0.181306895,0.899,,,79.6,,
13,14,AUS,2000,WOMEN,50.11222425,28.838318,4.457435,27888.22951,4.892650127,100.0,100.0,100.0,100.0,100,6.704753755,17590.0,8.38,229780.2488,8.423342447000001,209864.0,2727898.6960000005,6.481697595,6.834794487999999,6.768531255,6.689509393,6.5434811779999995,7.594492877,7.389998951,7.9288547860000005,7.5699594679999995,7.027974157999999,6.5247985260000005,4.842061987,4.058531441,3.5597098610000004,3.4585200119999997,3.007655805,3.7194282210000003,73.95166016,21130,0.242175235,0.899,,,79.6,,
14,15,AUS,2001,MEN,49.89820449,27.158641999999997,4.407135,29133.08851,,100.0,100.0,100.0,100.0,100,6.434317737000001,18162.0,8.1,230343.3236,8.37028223,224265.0,2751918.242,6.7771466689999995,7.3652387379999995,7.2680641239999995,7.144201074,6.666076595,7.480188308,7.338591905,7.964865287,7.63302797,6.978183607,6.828921819,5.267481888,4.213111844,3.491359177,3.1326566089999996,2.397798942,2.053085442,60.29922867,20130,0.189980819,0.902,,,,,
15,16,AUS,2001,WOMEN,50.10179551,30.789334999999998,4.407135,29133.08851,,100.0,100.0,100.0,100.0,100,6.434317737000001,18162.0,8.1,230343.3236,8.37028223,224265.0,2751918.242,6.3326766029999995,6.774913299,6.765580264,6.755159583999999,6.48413902,7.448621694,7.366406046,7.815997297999999,7.610266546,7.034145856,6.630670777000001,5.0761351910000005,4.11183897,3.543207498,3.383489333,3.0206714810000004,3.84608054,73.96118164,20130,0.250891794,0.902,,,,,
16,17,AUS,2002,MEN,49.89905877,29.45257,2.981575,30376.853160000002,,100.0,100.0,100.0,100.0,100,6.412698828,17874.0,7.86,242362.31699999998,8.738721325,227378.0,2773429.979,6.634565892,7.261890331,7.280968452000001,7.182346708,6.734731173999999,7.239478169,7.393255647,7.748999839,7.720958911,6.994055735,6.779401145,5.5574135170000005,4.254822371,3.52110705,3.0726374260000004,2.444520638,2.178846994,68.3126297,19980,0.189996611,0.905,,,,,
17,18,AUS,2002,WOMEN,50.10094123,32.061394,2.981575,30376.853160000002,,100.0,100.0,100.0,100.0,100,6.412698828,17874.0,7.86,242362.31699999998,8.738721325,227378.0,2773429.979,6.220694242,6.686983173,6.756203461,6.7776541660000005,6.525954277,7.207385684,7.4258897610000005,7.642159603,7.660627912000001,7.0607050860000005,6.652137307,5.365802165,4.164060486,3.5619341710000003,3.304085012,3.012302128,3.9754213660000004,83.50060272,19980,0.24864969399999998,0.905,,,,,
18,19,AUS,2003,MEN,49.89601699,29.933653000000003,2.732596,31827.642060000002,,100.0,100.0,100.0,100.0,100,6.297904428,18619.0,8.39,197752.3656,7.139003177,221905.0,2770027.7010000004,6.535580681,7.119392121000001,7.292906534,7.170969237,6.884461357999999,6.95530994,7.4859671379999995,7.5039972520000005,7.798329711,7.041848384,6.674164291,5.860061892999999,4.3116495089999995,3.574225972,3.013786525,2.4772685230000002,2.3000809319999997,65.86239624,21130,0.198651881,0.9079999999999999,,,,,
19,20,AUS,2003,WOMEN,50.10398301,32.682934,2.732596,31827.642060000002,,100.0,100.0,100.0,100.0,100,6.297904428,18619.0,8.39,197752.3656,7.139003177,221905.0,2770027.7010000004,6.144423453,6.574205096,6.742794204,6.755500702999999,6.639531096,6.922316575,7.519390331,7.445633862999999,7.701547224,7.105334753999999,6.620005239,5.667737194,4.233594911,3.6066092039999997,3.230794719,2.98821609,4.102365344,81.26753235,21130,0.255075497,0.9079999999999999,,,,,
20,21,AUS,2004,MEN,49.89724506,29.046274,2.343255,33454.904669999996,,100.0,100.0,100.0,100.0,100,6.149718709,18683.0,8.14,188691.6482,6.668828026,229563.0,2829457.401,6.4762734889999996,6.957078752,7.285327955,7.136991424,7.044372766,6.721829972999999,7.528051327000001,7.305913228,7.823478624,7.106429979,6.5794108289999995,6.102383049,4.415586216,3.6344308730000003,2.976495818,2.495459486,2.410486212,64.1803894,25520,0.201534377,0.91,,,,,
21,22,AUS,2004,WOMEN,50.10275494,32.562542,2.343255,33454.904669999996,,100.0,100.0,100.0,100.0,100,6.149718709,18683.0,8.14,188691.6482,6.668828026,229563.0,2829457.401,6.10459689,6.450129538,6.71418912,6.709586688,6.75989328,6.682432334,7.564238456,7.28738211,7.7038922770000005,7.157573492999999,6.584250435,5.919539068,4.347698193,3.662345916,3.178260028,2.956062575,4.2179295980000004,79.58493042,25520,0.256824309,0.91,,,,,
22,23,AUS,2005,MEN,49.90766544,30.226415999999997,2.691832,35068.84566,4.912280083,100.0,100.0,100.0,100.0,100,6.001137337,20103.0,8.8,188970.0335,6.711975736,228347.0,2815415.921,6.461333664,6.804337455,7.235413799999999,7.10664135,7.154429819,6.600511267999999,7.467317072999999,7.194852507999999,7.774095878,7.174418407999999,6.533654932999999,6.243142226,4.579673833,3.693087344,2.9702409610000005,2.4992567390000002,2.507592743,64.20101929,30340,0.20546174600000003,0.915,,,81.1,,
23,24,AUS,2005,WOMEN,50.09233456,33.12809,2.691832,35068.84566,4.912280083,100.0,100.0,100.0,100.0,100,6.001137337,20103.0,8.8,188970.0335,6.711975736,228347.0,2815415.921,6.105006659,6.334950264,6.656281459,6.661440197,6.833986675,6.545353792,7.509840564,7.202723025,7.651188019,7.2073096660000004,6.5759708539999995,6.085397536,4.5167071110000006,3.72061418,3.1547213110000003,2.92030943,4.318199259,80.80500793,30340,0.25961799399999996,0.915,,,81.1,,
24,25,AUS,2006,MEN,49.92963316,30.650082,3.5552879999999996,37138.28415,4.742730141,100.0,100.0,100.0,100.0,100,6.068309792000001,21642.0,9.3,194988.4062,6.857191372000001,232727.0,2843560.805,6.455119034,6.65895793,7.13152851,7.221566523,7.308372552000001,6.64413169,7.332145157,7.150384995,7.599883882,7.211296213,6.487497284,6.255894477000001,4.771060659,3.7233818860000003,2.95759637,2.455743236,2.6354396,62.78657913,34170,0.20458558699999999,0.9179999999999999,,,81.3,,
25,26,AUS,2006,WOMEN,50.07036684,35.344658,3.5552879999999996,37138.28415,4.742730141,100.0,100.0,100.0,100.0,100,6.068309792000001,21642.0,9.3,194988.4062,6.857191372000001,232727.0,2843560.805,6.109288145,6.227933572,6.568929964,6.7294925039999995,6.95357141,6.56250358,7.376887653,7.184299974,7.513967678999999,7.226391822,6.5588923789999996,6.138012725,4.706870465,3.749028519,3.135774751,2.8523051789999996,4.40584968,80.67346191,34170,0.25872288600000004,0.9179999999999999,,,81.3,,
26,27,AUS,2007,MEN,49.95930139,31.389452000000002,2.327611,38775.78024,4.646319866,100.0,100.0,100.0,100.0,100,6.049090187000001,21013.0,8.65,203770.9868,6.951585842,242979.0,2931287.788,6.518410997999999,6.526199007000001,6.979700052,7.281416137000001,7.42180098,6.813973122,7.110729727000001,7.197792982999999,7.365689088,7.247062893,6.481458565,6.174677885,5.011674847,3.750504668,2.973863345,2.401382539,2.7436631639999995,63.23677826,37340,0.20718236,0.9209999999999999,,,81.6,,
27,28,AUS,2007,WOMEN,50.04069861,36.054111,2.327611,38775.78024,4.646319866,100.0,100.0,100.0,100.0,100,6.049090187000001,21013.0,8.65,203770.9868,6.951585842,242979.0,2931287.788,6.174813522999999,6.131014024,6.448143005,6.75088522,7.030129686,6.693605282999999,7.159629665,7.247257284,7.325621276000001,7.246579923,6.5657176139999995,6.112400906,4.9383148310000005,3.7796267930000003,3.1412474219999997,2.783581723,4.471431822,82.39167786,37340,0.26014334,0.9209999999999999,,,81.6,,
28,29,AUS,2008,MEN,49.98834953,33.012062,4.350298,39219.474669999996,4.627190113,100.0,100.0,100.0,100.0,100,6.048628654,19726.0,8.12,202492.3624,6.797058895,243073.0,2979117.373,6.621771732000001,6.412806511,6.815008791,7.256897029,7.507413466,7.066087617999999,6.865398897,7.281098527,7.127584917999999,7.254956785,6.5092938160000005,6.0429884970000005,5.254677652,3.793767617,3.010040247,2.350638467,2.829569432,63.02780151,42390,0.208134496,0.925,,,81.8,,
29,30,AUS,2008,WOMEN,50.01165047,39.232346,4.350298,39219.474669999996,4.627190113,100.0,100.0,100.0,100.0,100,6.048628654,19726.0,8.12,202492.3624,6.797058895,243073.0,2979117.373,6.275310964,6.049907182999999,6.320234325,6.70715609,7.072286042999999,6.897136466,6.9184598379999995,7.340458363,7.129285778,7.250649117000001,6.592275955,6.042533944,5.170121346,3.8313302539999996,3.161742648,2.721793517,4.519318169,83.50862122,42390,0.258794948,0.925,,,81.8,,
30,31,AUS,2009,MEN,50.00615712,33.912621,1.7711169999999998,40897.04122,5.086410046,100.0,100.0,100.0,100.0,100,5.9604191,18602.0,7.48,200437.9437,6.765441146000001,248687.0,2962673.6739999996,6.716440083999999,6.32801646,6.658385815,7.148972441000001,7.577006536,7.325756934,6.6954297920000005,7.32210497,6.953137022999999,7.212095305,6.551779744,5.926511998,5.438160705,3.880105931,3.0551484269999998,2.320818504,2.89012933,65.46755981,44040,0.210026926,0.927,,,81.9,,
31,32,AUS,2009,WOMEN,49.99384288,39.784927,1.7711169999999998,40897.04122,5.086410046,100.0,100.0,100.0,100.0,100,5.9604191,18602.0,7.48,200437.9437,6.765441146000001,248687.0,2962673.6739999996,6.366784668999999,5.992711203,6.200004306,6.601782487,7.0929684129999995,7.103328927000001,6.746277622000001,7.389807277999999,6.984017388,7.219585679,6.626542829,5.978909452000001,5.35149104,3.925245667,3.1892994839999997,2.6786346869999997,4.552608871,88.93451691,44040,0.261731051,0.927,,,81.9,,
32,33,AUS,2010,MEN,50.00624546,34.390091,2.91834,42165.82842,5.555230141,100.0,100.0,100.0,100.0,100,5.863813454,21758.0,8.61,259845.8495,8.552761415,252651.0,3038151.5039999997,6.76555579,6.280057192999999,6.513906181,6.988330242000001,7.618340226,7.543883186,6.661084497999999,7.281755711000001,6.870768397000001,7.119235772000001,6.589945298,5.864612945,5.531870615,4.018691285,3.104956221,2.319803295,2.927203145,68.39689636,46560,0.216636997,0.927,,,82.1,,
33,34,AUS,2010,WOMEN,49.99375454,40.772197999999996,2.91834,42165.82842,5.555230141,100.0,100.0,100.0,100.0,100,5.863813454,21758.0,8.61,259845.8495,8.552761415,252651.0,3038151.5039999997,6.415421992000001,5.967030873,6.089875897000001,6.459098214,7.088053884,7.265317852000001,6.697029627999999,7.3578427170000005,6.91878366,7.148667075,6.657874755,5.9514593510000005,5.458840406,4.0648184060000006,3.224037584,2.659565377,4.576282329,94.45539856,46560,0.267254812,0.927,,,82.1,,
34,35,AUS,2011,MEN,49.98643004,34.573837,3.30385,43583.03701,5.098340034,100.0,100.0,100.0,100.0,100,5.759660434,26474.0,10.43,262414.6151,8.472197885,253907.0,3097361.732,6.874008897,6.279491697,6.404072886,6.913050091000001,7.515638947999999,7.620534902999999,6.726138262,7.140791871,6.845201889,6.997976034,6.612004842,5.85739828,5.530749768,4.188567453,3.148738583,2.341288025,3.0043475710000003,70.15621185,50150,0.221155331,0.93,,,82.2,,
35,36,AUS,2011,WOMEN,50.01356996,42.043972,3.30385,43583.03701,5.098340034,100.0,100.0,100.0,100.0,100,5.759660434,26474.0,10.43,262414.6151,8.472197885,253907.0,3097361.732,6.49343811,5.960979992,6.018340382000001,6.410835235,7.037636919,7.328076706,6.715150382999999,7.211834972,6.909165299,7.027159242000001,6.687017197,5.9651337060000005,5.503181994,4.225456842,3.258433062,2.650211911,4.597948047,97.79512787,50150,0.271811045,0.93,,,82.2,,
36,37,AUS,2012,MEN,49.95103815,37.532191999999995,1.76278,43082.38768,4.899909973,100.0,100.0,100.0,100.0,100,5.488347892,26599.0,10.59,263680.7742,8.443705227,251108.0,3122808.8510000003,6.873798657999999,6.32733063,6.298979136,6.8276046710000005,7.422880778,7.639131097000001,6.897448295,6.943273854,6.8903604220000005,6.842903249,6.6371531589999995,5.8903649829999996,5.470320758,4.393621896,3.196508135,2.382604464,3.0657158160000004,71.44722748,59800,0.228002762,0.9329999999999999,,,82.4,162.03,0.7792956011305168
37,38,AUS,2012,WOMEN,50.04896185,44.976409999999994,1.76278,43082.38768,4.899909973,100.0,100.0,100.0,100.0,100,5.488347892,26599.0,10.59,263680.7742,8.443705227,251108.0,3122808.8510000003,6.482748356,5.992514511,5.9388291120000005,6.353691528,6.979942392000001,7.358156556,6.839766768,7.003537003,6.962914,6.879286646000001,6.709685609,6.010593499,5.494821442999999,4.422400434,3.3036131710000003,2.66009753,4.607401441,100.4042282,59800,0.277534267,0.9329999999999999,,,82.4,162.03,0.7792956011305168
38,39,AUS,2013,MEN,49.90812602,35.101803000000004,2.4498889999999998,47002.99005,5.285840034,100.0,100.0,100.0,100.0,100,5.346124565,33110.0,13.26,298472.4192,9.320593129,249621.0,3202289.974,6.802695182000001,6.414927969,6.212748603,6.709048747000001,7.353305066,7.607500612000001,7.116445361,6.747926731000001,6.956510751000001,6.685766962000001,6.651337616,5.942671245,5.390555402,4.591583401,3.263067637,2.4335437030000002,3.12036501,72.46238708,65560,0.238853961,0.9359999999999999,7.2,0.8125,82.5,165.8,0.792956011305167
39,40,AUS,2013,WOMEN,50.09187398,43.913063,2.4498889999999998,47002.99005,5.285840034,100.0,100.0,100.0,100.0,100,5.346124565,33110.0,13.26,298472.4192,9.320593129,249621.0,3202289.974,6.4139462510000005,6.0579292129999995,5.861191125,6.274086727,6.916997309,7.361255454,7.022165737999999,6.790710685,7.027348276000001,6.739506181,6.709868276,6.075063492999999,5.460505961,4.622806131,3.370123888,2.679259744,4.61723555,101.6734085,65560,0.286155999,0.9359999999999999,7.2,0.8125,82.5,165.8,0.792956011305167
40,41,AUS,2014,MEN,49.86853915,38.390442,2.487923,46920.61776,5.22533989,100.0,100.0,100.0,100.0,100,5.1646696830000005,37008.0,14.91,302762.4452,9.497567815,248264.0,3187789.2430000002,6.725312274,6.515009856,6.156772214,6.5584388129999995,7.295594959,7.5501463929999995,7.304179952,6.6290322239999995,6.979188868,6.567561969,6.6347640939999994,5.990539424,5.336098185,4.734875357,3.3622589210000005,2.487264527,3.172961972,75.4020462,64740,0.24751522399999998,0.937,,,,175.98,0.8298427422276977
41,42,AUS,2014,WOMEN,50.13146085,45.340527,2.487923,46920.61776,5.22533989,100.0,100.0,100.0,100.0,100,5.1646696830000005,37008.0,14.91,302762.4452,9.497567815,248264.0,3187789.2430000002,6.340539055,6.1356393229999995,5.79924109,6.167530365,6.846266568,7.348459131,7.1932611589999995,6.648079846,7.039966622000001,6.643227785,6.675084837000001,6.135928237000001,5.437494875,4.784276603,3.46812744,2.704229493,4.632647573,106.3088074,64740,0.293716739,0.937,,,,175.98,0.8298427422276977
42,43,AUS,2015,MEN,49.83969022,38.441013,1.508367,46761.16774,,100.0,,,,,,,,,,,,6.6867173289999995,6.58985029,6.1382425000000005,6.398409324,7.221711705,7.49258533,7.417755753,6.617443486,6.933007464,6.5061180510000005,6.580003406,6.023586997000001,5.323783766,4.808441006,3.492465616,2.545057083,3.224820893,,60180,0.234773855,0.9390000000000001,,,,180.81,0.8473440104355388
43,44,AUS,2015,WOMEN,50.16030978,47.239651,1.508367,46761.16774,,100.0,,,,,,,,,,,,6.2989249560000005,6.194099377000001,5.766386892000001,6.042808441,6.7597336420000005,7.325719727,7.31458714,6.611039472000001,6.979043093,6.598926815,6.608660499,6.176734552,5.445878958,4.887121934,3.5972077560000004,2.7390436160000005,4.65408313,,60180,0.279724675,0.9390000000000001,,,,180.81,0.8473440104355388
44,45,AUS,2016,MEN,49.82354192,39.76762,1.276991,48177.785560000004,,,,,,,,,,,,,,6.621179916,6.655613188999999,6.194611638,6.291580528,7.076008602000001,7.449075942,7.47487386,6.661719501,6.837321708999999,6.483563291,6.5007424910000005,6.059773634,5.334395421,4.844767415,3.6247197460000002,2.5830861830000003,3.306966935,,54230,0.23898428800000002,,,,,198.79,0.9124936589607942
45,46,AUS,2016,WOMEN,50.17645808,47.630001,1.276991,48177.785560000004,,,,,,,,,,,,,,6.239200152,6.262718399,5.827007142,5.9652584189999995,6.630163131000001,7.2479074379999995,7.370058587000001,6.640447717000001,6.874225868,6.579384534,6.535354938999999,6.204207775,5.483477172000001,4.951685574,3.74531597,2.769593707,4.673993478,,54230,0.28397727,,,,,198.79,0.9124936589607942
46,47,AUT,1999,MEN,48.49902796,,,,6.137949944,100.0,,100.0,100.0,100,4.01507657,42348.0,70.68,242516.0559,26.43830598,59916.0,917290.45,5.644896309,6.220764497,6.142141561,6.260101575,6.19528247,7.622890593999999,9.28780169,9.191968782,7.752861734,6.360928447,6.363617505,6.24862826,4.8815111380000005,3.9560910110000003,3.524100235,2.337687815,2.008726378,53.446609499999994,27090,0.559042143,0.833,,,,,
47,48,AUT,1999,WOMEN,51.50097204,,,,6.137949944,100.0,,100.0,100.0,100,4.01507657,42348.0,70.68,242516.0559,26.43830598,59916.0,917290.45,5.040658132,5.561880985,5.495896081000001,5.623790066000001,5.641950383999999,7.026692774,8.450649877,8.288895218,7.104181624,5.954269279,6.036412765,6.1377294970000005,4.996354672,4.389684264,4.864843093999999,4.503421399,4.882689888,55.63082886,27090,0.541650194,0.833,,,,,
48,49,AUT,2000,MEN,48.53476322,,,,5.604720116,100.0,100.0,100.0,100.0,100,3.8704899389999996,43435.0,72.54,242410.5678,26.38785253,59874.0,918644.5449,5.455897808,6.217463775,6.108128783,6.291664496,6.083693102000001,7.256963275,9.072914847,9.323987004,8.069315627,6.48168575,6.272718545,6.336807949,5.065795051,3.97497296,3.530841047,2.489120121,1.968029856,54.37963104,26790,0.56117999,0.8370000000000001,,,78.1,,
